리뷰ID,작성자ID,제목,내용,리뷰 날짜,숙박 날짜,여행 유형,종합 평점,가격,장소,침대의 퀄리티,객실,청결도,서비스
907151670,yrlokdh,그랜드 하얏트 숙박,"훌륭한 시설과 서비스로 매우 만족스러웠으며, 방 구조가 넓어서 기본방이 거의 스위트룸 수준이었습니다.<br/><br/>제주에 방문한다면 다시 이용하고 싶네요",2023년 8월 1일,2023년 7월,가족과 여행함,5.0,4.0,5.0,5.0,5.0,5.0,4.0
906812461,Ethon73,"뛰어난 위치, 시설",도심 중심에 위치하여 이동이 편리하고 주변 식당들이나 자체 식당도 좋습니다. 특히 객실은 국내에서는 가장 넓은 편인듯합니다.,2023년 7월 31일,2023년 7월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
906654443,borim1624,별로,객실크기와 컨디션 빼고는 다 별로 입니다.. 제일 최악은 복도의 냄새와 객실의 먼지..<br/>그리고 요청사항 불이행..<br/>고객응대부터 서비스 청결 다 불만족 입니다 <br/>직원들의 말투와 표정이 너무 좋지 않았고 서비스 받는다는 느낌이 들지 않았습니다 ,2023년 7월 30일,2023년 7월,가족과 여행함,1.0,4.0,2.0,4.0,5.0,1.0,1.0
905872459,lky6520,최고의 숙박,"하얏트라는 기대를 하고 갔지만 기대이상었음. 왜 사람들이 5성급 호텔을 선호하는지 알겠음.<br/>24시간 룸서비스, 야간 수영장 및 늦은 시간까지 부대시설 이용가능, 여러 사이트의 조식 장소 제공,<br/>다양한 메뉴 선택, 라운지에서의 애프터눈 티까지 모두 만족스러웠음.<br/>2박 일정이었는데 너무 아쉬워서 다음엔 투숙기간 연장하여 방문할 계획임.",2023년 7월 27일,2023년 7월,가족과 여행함,5.0,4.0,5.0,5.0,5.0,5.0,5.0
905849623,rkdfhdk,가족호캉스,매우 만족하는 휴가였습니다.다음에 제주도를 간다면 무조건 하얏트로 갑니다.직원 서비스도 매우 훌륭하고 전반적인 컨디션 좋아요,2023년 7월 27일,2023년 7월,가족과 여행함,5.0,4.0,5.0,5.0,5.0,5.0,5.0
905820227,skynara11,골프 및 가족여행,공항근처라 이동이 용이하고 근처에 맛집도 많아서 좋았다. 객실이 커서 인원추가로 3인 투숙시 불편함없이 편안한 여행을 즐길수 있었다<br/>,2023년 7월 27일,2023년 7월,가족과 여행함,4.0,4.0,5.0,4.0,4.0,4.0,5.0
905113172,moondihi,완벽한 여행의 시작과 마무리였어요!,호텔이 너무 멋지고 시설과 룸 상태도 너무 좋았습니다. 세안제푸은 balmain이였는데 샴푸 컨디셔너 너무 좋아서 따로 가져온 제품은 쓰지 않았네요~ 수영장과 헬스장시설도 너무 좋았고 조식 음식퀄리티 역시나 좋았습니다!,2023년 7월 24일,2023년 7월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
904661836,hash462023,업그레이드를 계속 강요함,아이들과 투숙하면서 고층을 선호하지않는 우리 가족에게 계속 업그레이드를 요청함. 거절의사를 몇번이나 말했는데 계속 강요해서 어쩔수없이 수락하고 37층을 배정받음. 귀도아프고 어지럽고 별로 좋지 않았음,2023년 7월 22일,2023년 7월,가족과 여행함,3.0,4.0,3.0,5.0,5.0,3.0,3.0
904443228,wudongdong,너무 좋았습니다,"정말 넓은 방과 넓은욕실 , 맛있는 조식 , 깨끗한 방과 수건과 이불 , 넓은 침대라 애기랑 같이 자도 넓었고 침대도 너무 편안함 , 수영장도 넓고 좋았음 , 야외수영장은 대신 바람이 많이 불어서 마구 날라다님 , 따뜻한 물이 너무 좋았음. ",2023년 7월 21일,2023년 7월,가족과 여행함,5.0,3.0,5.0,5.0,5.0,5.0,5.0
904239500,bereberebere2023,호캉스,아이두명과 호캉스목적으로 이용했습니다 제주하얏트는 두번째 방문으로 첫번째의기억이 너무 좋아설레는 맘이컷는데.. 수영장만 즐기는 우리에게 수질상태가.....접근성 직원의 친절 객실의여유로움을... 수영장때문에 망설여지게 합니다...,2023년 7월 20일,2023년 7월,가족과 여행함,3.0,3.0,5.0,5.0,5.0,2.0,3.0
904192426,davidmom79,친절하고 시설짱,추천합니다. 제주도 5성급 호텔을 모두 가본 사람으로 그중 그랜드 하얏트 제주를 추천합니다. 가장 좋은 시설과 특히 룸 크기는 돋보적입니다. 다시 가고싶습니다.,2023년 7월 20일,2023년 7월,가족과 여행함,5.0,4.0,5.0,5.0,5.0,5.0,5.0
903819298,can1234562023,제주도 최고의 호텔,수 많은 호텔을 다녀봤지만 제주도에서는 이곳이 최고인거 같습니다. 공항과의 접근성도 뛰어나며 식음료파트가 선택권이 많아 좋았습니다,2023년 7월 18일,2023년 7월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
903802290,orangegate2023,제주에서 넓은객실과 완벽한 뷰를 가진 호텔,"장점) 1. 통창으로 보이는 멋진 뷰, 오션뷰 룸의 경우 공항 비행기 이착륙부터 시내 야경까지 잘보임. 룸에 있는 시간이 아깝지 않음 <br/>2. 룸 사이즈가 넓어서 쾌적함<br/>3. 위치가 좋고 주변에 맛집 많음<br/><br/>단점)<br/>1. 체크인 시간에 대기가 좀 긴편<br/>2. 경험하고 싶진 않았지만 욕실 욕조 옆에서 손가락 두마디 사이즈 대왕 바퀴벌레 나옴<br/><br/>단점 두개 빼곤 만족스러운 투숙이었고,<br/>제주시 숙소 정할때 1순위 고려대상으로 추천",2023년 7월 18일,2023년 7월,커플로 여행함,5.0,4.0,4.0,4.0,4.0,4.0,5.0
902077587,swhans,제주도 가족 여행기,제주 가족여행을 다녀옴.  2박3일.<br/>호텔은 제주 그랜드 하얏트.  렌트카.<br/>전반적으로 만족 했으나 ...  비가 많이와서 야외 활동을 못함.<br/>호텍의 8층 인티니티 풀도 사용을 못해서 아쉬움.<br/>마지막날에는 방 에어컨 고장으로 고생함.  기사도 빨리 안오고 ...  결국 못 고쳐서 더운 여름 싸우나를 방에서 함.  무슨 특급 호텔이 이래 ....  하는 기분 이었음.,2023년 7월 11일,2023년 7월,가족과 여행함,5.0,3.0,5.0,5.0,4.0,5.0,3.0
902075312,HayoungL26dfd,아이와 같이 가기 좋은 호텔,"조식의 선택권이 넓어서 좋고(5가지), 퀄리티 또한 좋습니다! 뷔페도 단품으로 나오는 곳도 굿굿!<br/>매일매일 깨끗하게 룸을 청소해주는 것도, 그리고 경치도 좋아서 넘넘 즐겁게 여행하고 가네요~<br/>다른 곳에 비해서 공간도 넓어서 아기가 뛰어놀기 좋은 곳이었어요! 재방문 의사 있습니다!",2023년 7월 11일,2023년 7월,가족과 여행함,4.0,5.0,5.0,5.0,5.0,5.0,4.0
901789233,sayyoung30,제주의 상쾌한 공기를 객실에서 느껴요,넓은 객실과 친절한 직원들....조식도 5곳에서 할 수 있으며 무엇보다 좋았던건 객실내에 제주의 상쾌한 공기를 느낄 수 있게 작은 창이 있어 좋았습니다,2023년 7월 10일,2023년 7월,출장 목적으로 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
901070229,miyoungh820,제주 시내에서의 새로운 여행경험,"대부분의 제주 여행에서 제주시는 제주 동/서부나 서귀포로 가기 전 경유지 같은 느낌이었는데,<br/>오랜만에 제주 시내에서 하루 묵기로 결심하여 그랜드 하얏트 제주에서 숙박하게 되었습니다.<br/>고층에서 내려다보는 제주 시내의 전경도 좋았고 애월/함덕 정도까지는 하얏트에서 이동소요시간이 길지않아 위치면에서도 좋았다고 생각합니다.<br/>다른 호텔대비 객실이 많이 큰 편이고, 기본 룸에도 소파 테이블 라운지체어가 모두 있어 투숙기간 동안 아주 편안하게 머물렀습니다. 이 점이 가장 만족스러웠습니다.<br/>그리고 룸서비스 메뉴도 다양하고 운영시간이 길어 편리하게 이용하였습니다. <br/>이번 투숙경험이 아주 만족스러워서, 다음번 제주 방문시에는 하얏트 투숙기간을 늘릴 생각입니다.",2023년 7월 7일,2023년 6월,가족과 여행함,5.0,4.0,4.0,5.0,5.0,5.0,5.0
901015481,icyhs0,그랜드하야트 제주 시설만족하고갑니다.,전반적인서비스와 시설 매우 만족하고 갑니다. 다만 유일하게 아쉬운건 중국인 관광객분들을 위한 인테리어만 너무 돋보인다고 생각합니다 한국에 위치한 호텔이니 좀더 한국적인 정서를 살리는건 어떨까 아쉬움이있습니다.,2023년 7월 7일,2023년 7월,커플로 여행함,5.0,4.0,5.0,3.0,5.0,5.0,5.0
900890474,minzoking,아기와 함께하기 좋은 숙소,예약 후 미리 연락해서 각종 아기 용품들을 예약할 수 있었고 침대 가드도 두개를 빌릴 수 있어서 좋았습니다. 마룻바닥이라 아기가 맨발로 뛰어다니기에도 좋았으며 아기용 가운까지 준비해주셔서 쾌적하게 휴식을 취할 수 있었습니다.,2023년 7월 6일,2023년 6월,가족과 여행함,5.0,3.0,4.0,5.0,5.0,3.0,5.0
899881004,alclsalzl1029,객실 블라인드 오작동,"객실 안쪽 두꺄운 블라인드가 걸려서 내려오지 않는 상태였습니다. 그래서 암막블라인드를 내리지 못하고, 겉에 있는 얇은 블라인드만 내리고 이용하는 불편함이 있었습니다.",2023년 7월 3일,2023년 6월,커플로 여행함,5.0,4.0,5.0,5.0,4.0,5.0,5.0
899866371,tjwodnr01,매우 좋은 경험을 준 그랜드 하얏트 재주,"제주 여행에 좋은 기억을 남겨주는 숙소였습니다. 모든 직원들이 친절했으며, 두번째 방문이지만 앞으로 제주여행시엔 이곳에서 숙박을 할것 같아요.",2023년 7월 3일,2023년 6월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
899430532,leegisug2000,전반적으로는 좋은 서비스였어요,"하지만 최고라고 보기는 어렵군요<br/>.청소상태가 미흡했고 식당 서비스가 원할하지 않았어요.<br/>뷔페식은 너무 어수선<br/>한식 녹나무는 고기굽는 서비스가 부족했고 식사도 한꺼번에 나와 당황<br/>38층 레스토랑은 최악이었습니다.음식도 서비스도, 심지어 유아동반시 생수를 부탁했더니 4,500원 결재하라고 하더군요. 음식의 질도 엉망. 2년전 식사경험이좋아서 식구들이 기대해서 갔는데 아니었음<br/>중식당은 음식 맛은 좋았어요. 서빙 서비스는 질문에 성의없고 높은 소리로 응대해서 불쾌하였고 코스식사였는데 한꺼번에 나와 제대로 먹기 어려웠음<br/>8층에서의 식사는 그나마 괜찮았음<br/><br/>일주일간 있으면서 거의 모든 곳을 경험했으며 특히 클럽850 라운지가 편안하고 좋았음<br/><br/>",2023년 7월 1일,2023년 6월,가족과 여행함,1.0,1.0,1.0,2.0,2.0,2.0,1.0
899028814,scbaik,기대 이상이었음,제주시 지역에서 가장 좋은 시설과 규모<br/>특히 코너스위트는 촤고의 전망과 품격을 갖춤.<br/>주차장 시설과 로비 및 라운지도 훌륭함,2023년 6월 30일,2023년 6월,가족과 여행함,2.0,3.0,3.0,4.0,5.0,4.0,4.0
899020035,yjsong2023,현대적인 시설,전반적인 시설이 깔끔하고 숙소 오션뷰도 매우 좋았어요 실내외수영장 및 헬스장 시설도 여태껏 다녀본 호텔중에 제일 좋았습니다,2023년 6월 30일,2023년 6월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
898787662,bbubyul,제주하얏트 호텔과 함께 하는 호캉스,"객실의 전반적인 컨디션은 마음에 들었지만, 침대 바닥에 있는 카페트 한쪽이 들려있어 이동중에 계속 걸려 넘어질뻔 했습니다. 보수가 필요해 보입니다.",2023년 6월 29일,2023년 6월,커플로 여행함,5.0,3.0,4.0,4.0,4.0,5.0,5.0
898618366,ksk820707,아이들 과 가족여행,공항에서도 가깝고 아이들과 늦은 시간 까지 수영을 할수 있어서 좋았습니다.<br/>침대도 편안하고 시티뷰나 오션뷰다 만족스러웠습니다.<br/>피트니스센터도 깨끗하고 편의 시설도 잘 되있었습니다.,2023년 6월 28일,2023년 6월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
898536677,Jina C,그랜드 하얏트 제주,호텔은 넑고 깔끔하고 침대도 푹신하고 넑은 편입니다 호텔 객실은 미리 확인 하고 않되는거 있으면 직원들 한테 미리 말해서 조치하는게 좋을꺼 같네요 ,2023년 6월 28일,2023년 6월,가족과 여행함,5.0,5.0,5.0,5.0,4.0,5.0,5.0
898521964,gaeuni41,"역시 최고, 제주 하야트",수영장이 특히 좋았습니다. 물과 수건을 제공하며 모자를 쓰지 않아도 되는데도 불구하고 굉장히 깨끗하게 잘 유지되었습니다.  그리고 목이 불편해서 호텔 베게를 잘 쓰지 못하는데  침구가 너무 좋아 편히 잘 잤습니다. ,2023년 6월 28일,2023년 6월,커플로 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
898011219,Luckyblair,편하고 즐거운 여행이였어요~,"자매 여행했는데 룸과 침대가 넓어서 3명이 불편함 없이 잘 지내다 왔습니다.   조식 포함 2박 이여서 뷔페식 한번  한식 한번 먹었는데 한식  조식이 진짜 맛있었어요.  쇼핑을 하지는 않았지만 쇼핑몰이 커서 구경하는 재미도 있었고,, 위치가 시내에 있어서 이동하기 편했고, 호텔 주변에서 늦은 밤까지 놀기도 좋았습니다. ",2023년 6월 26일,2023년 6월,가족과 여행함,4.0,3.0,4.0,4.0,5.0,4.0,4.0
897689588,lewhj2023,직원들이 맛있고 크루아상이 친절해요,"택시에서 내릴 때부터 다시 택시 타고 공항 갈 때까지 2박 3일 동안 마주한 모든 직원들이 친절했음.<br/>조식은 그랜드키친과 카페8을 이용했고, 둘 다 크루아상이 맛있음.<br/>그랜드키친은 뷔페 형태이고 우유 롤 브레드 하고 시나몬 롤 브레드도 맛있음.<br/>카페8은 메뉴 고르면 에피타이저 나오고 다 먹으면 메인 나오는 식인데 1만5천원을 추가하더라도 스테이크를 메인으로 하길 잘함.<br/>수영장 이용 시 수영 못한다면 6층에서 수영장 들어가서 구명조끼 입고 수영장 내 엘리베이터로 8층 야외풀 가는 것을 추천함.<br/>객실 뷰 어디든 좋고 넓을 것 같음. 티비 크롬캐스트 연결되는 것 편함. 테이블들 예상보다 커다람. 리클라이너 좋음. 수건 처음부터 많이 있음. 제공되는 슬리퍼 푹신함. 냉장고 작고 냉동실 없음. 발망 비누로 옷에 얼룩 지우면 말끔히 사라짐. 카드 키 안 꽂아도 돼서 편한데 나갈 때 가지고 나가는 것 잊게 되니 잘 챙겨야 함. 타워 2에서 묵으면 더 편할 것 같음. 끝.",2023년 6월 25일,2023년 6월,친구와 여행함,5.0,4.0,4.0,5.0,5.0,5.0,5.0
897158452,elisabeth9193,만족스러운 투숙이었습니다,기념일이라 방문했습니다.<br/>룸컨디션도 좋았고 층고가 높아 답답한 느낌이 없습니다.<br/>룸서비스도 좋았고 직원들의 서비스가 대체적으로 친절했습니다.,2023년 6월 23일,2023년 6월,커플로 여행함,5.0,4.0,5.0,5.0,5.0,5.0,5.0
896879257,MinkyungC21,가족여행으로 너무 좋았어요,조식+애프터눈티 포함 패키지로 2박했고 조식과 수영장을 가족들이 정말 마음에 들어했어요.<br/>포차 조식 게우밥 정말 추천합니다.<br/>수영장은 물온도가 적당하고 온수풀이 두군데 있어서 좋았어요.,2023년 6월 22일,2023년 6월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
896404062,Culture553054,제주 하얏트 후기,"제주 시내에 있어서 주변에 맛집 들이 많고, 호텔 수영장이 실내 실외로 연결되어 놀기 좋으며, 클럽 라운지를 포함해서 가면 아침 저녁 식사도 해결돼서 호캉쓰로 짱이예요~   ",2023년 6월 21일,2023년 6월,가족과 여행함,5.0,4.0,5.0,5.0,5.0,5.0,5.0
895992160,khs631206,동행자,동행한 직원들의 만족도가 대단했고<br/>조식시 직원들의 품위있는 응대는 특급호텔의 품격을 체험했다<br/>개인적으로 여러번의방문으로 만족도가 높아 계속방문하고싶다,2023년 6월 20일,2023년 6월,친구와 여행함,5.0,5.0,3.0,5.0,5.0,5.0,5.0
895700315,seedonghwa,만족스러운 제주 그랜드하얏트,"제주 그랜드하얏트 호텔은 처음 방문했지만 예상했던 것과 같이 너무 아름다웠고, 직원분들도 다 너무 친절하셨고<br/>객실도 무척 청결하고 넓어서 좋았습니다. <br/>제가 묵은 객실은 바다가 보이진 않았지만 시티뷰도 그런대로 만족스러웠습니다.<br/>제주 올 때마다 매번 묵고 싶은 호텔입니다.",2023년 6월 18일,2023년 6월,가족과 여행함,5.0,4.0,4.0,5.0,5.0,5.0,5.0
895135478,rhkr3816,처갓집와의 여행,"처음으로 장모님과 처형, 우리 식구들 다같이 간 제주 여행 그랜드 하얏트에서 좋은 추억 남기고 1박으로는 아쉬워 다음엔 2박 하기로 하였고 직원들의 친절로 편안히 쉬다 갑니다.",2023년 6월 15일,2023년 6월,가족과 여행함,5.0,3.0,5.0,5.0,5.0,5.0,5.0
894922880,avril401,가족여행으로 너무 좋아요~,직원 모두가 친절하고 다정하게 응대해주고 룸 컨디션은 최상이였어요. 어메니티도 깔끔하고 칫솔의 경우 친환경 대나무 칫솔이라 양심의 가책을 좀 덜었구요~ 그리고 아이 생일날 축하카드를 보내주어서 너무 감동 했습니다. <br/>아이들과 여행일정 내내 소중한 시간을 즐겁게 보내고 왔습니다. 다음번에도 또 오자며 얘기하는 아이들 때문이라도 다시 가야할껏 같아요~^^,2023년 6월 14일,2023년 6월,가족과 여행함,5.0,4.0,5.0,5.0,5.0,5.0,5.0
894740133,wms7160,제주도의 최고의 호텔,시설도 품격 있고 객실도 넓고  뷰도 멋지고 뷔페도 정말 만족했습니다. 1박 만 하기에는 아쉬움이 남을 정도로..  다음에 제주도 들리면 꼭 다시 찾고 싶은 호텔입니다. ,2023년 6월 13일,2023년 6월,커플로 여행함,5.0,5.0,5.0,5.0,5.0,5.0,4.0
894613858,star4004kr,매우만족해요,평일 제주 여행이라 좋은가격에 숙박했어요~<br/>직원분들 입구부터의 에스코트 부터 체크아웃할때까지 서비스가 매우 훌륭했습니다!!,2023년 6월 12일,2023년 5월,커플로 여행함,5.0,4.0,4.0,5.0,5.0,5.0,5.0
894564519,sbkim10272023,객실이 크고 뷰가 멋있음,객실이 생각보다 커서 놀랐습니다. <br/>고층에서 보는 뷰가 아름답고 전체적으로 깨끗하고 만족합니다.<br/>다만 수영장이 크기 않지만 온수풀도 있어서 아기들과 놀기에는 적당합니다. ,2023년 6월 12일,2023년 6월,출장 목적으로 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
894482949,guios99,금액보다 가치있는 서비스 실현,"하룻밤에 이 정도 금액이 부담스러울 수도 있지만, 겪어본 사람으로서는 다시금 기회가 된다면 또 가고 싶은 호텔로 기억에 남는다. 그만큼 만족스러운 가치를 겪고 돌아온 여행이었다.",2023년 6월 11일,2023년 6월,가족과 여행함,5.0,3.0,5.0,5.0,5.0,5.0,5.0
894405842,wodlsthd,제주도 또가면 하얏트 갈예정,일단 모든 객실이 사이즈가 여타 호텔들보다 크구요 시설도 최신이라 너무 좋고 어매니티도 하나같이 맘에들어요 조식도 괜찮았고 전체적으로 만족합니다,2023년 6월 11일,2023년 6월,출장 목적으로 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
894278819,950731a,인상깊었던 직원의 서비스❤️,"직원 칭찬을 너무 하고싶어서 메일을 기다렸습니다 ! 6.7(수) 저녁 라운지에 계셨던 JUNE 직원분께 감사하다는 말씀 드리고싶어요. 부모님과 동생 데리고 갔던 제주여행이였는데 친절한 응대 및 진심이 느껴지는 지운님의 감동적인 서비스에 가족 모두 좋은 추억 안고 갈수있게되었네요. 아직도 생각하면 마음이 아련하고 그래요^^  마지막 밤이라 저희 가족 모두 아쉬워하며 라운지를 이용했는데 필요한것은 없는지? 창가쪽에 노을이 질 무렵이라 좋은자리를 안내해주려고 하셨던 세심함, 또한 이용후 아쉬운 마음으로 라운지를 나서는데 직원분께서 마지막 인사하러 엘리베이터 앞 까지 배웅해주시고, 그 따뜻한 마음에 그랜드하얏트제주에서의 숙박이 참 기억에 오래 남을것같습니다. 어디에서도 받아보지 못할 서비스일것 같아요. 또 오고싶을정도로요! June님 너무 감사했습니다. 항상 건강하시고 나중에 또 방문했을때 june님의 예쁜 미소를 볼수있었으면 좋겠어요. 그랜드하얏트제주에 이러한 인재가 있다니 정말 안목이 좋으신것같네요. June님이 지치지않고 오래 근무할 수 있도록 이 내용 전달해 주시고, june님에게 포상도 해줬으면 좋겠습니다 :) 너무 감사합니다!",2023년 6월 10일,2023년 6월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,2.0,5.0
894078445,eunigrl55,깨끗하고 넓고 완벽한 뷰,아이와 함께 제주도를 자주 가며 여러 숙소를 이용해봤지만 룸컨디션과 서비스가 가장 좋은 호텔인듯 합니다. 새로운 호텔이여 쾌적하고 무엇보다 짧지만 힘든 비행 후 바로 쳌인 할수 있고 너무 항상 서귀포에서만 즐기던 제주를 더 넓게 여러방향으로 여행할수 있는 위치에 있어 좋습니다 걸어서 주변 맛집에 가서 남편과 운전 걱정 하지 않고 식사를 할수 있는것도 큰 장점인듯합니다. 룸이 넓어서 장기투숙에 좋아요!!!,2023년 6월 9일,2023년 6월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
893997303,hyh8206,만족한여행이였습니다,직원들이 친절하여 좋은 기억의 여행이 되었습니다 시설과 룸 컨디션도 좋아서 만족하였으며 다음 제주도 방문시에도 다시 이용하고 싶은 생각 입니다,2023년 6월 8일,2023년 6월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
893937783,shalala07,가족과 같이 갔는데 만족했습니다,초등 중등 아이와 같이 갔는데 아이들이 롯데호텔보다 만족스러워하더라구요<br/>룸상태나 시설들도 유용했고 라운지 이용이 특히 좋았습니다 <br/>직원들 서비스도 친절하고 항상 웃는 얼굴로 대해주셔서 즐거운 휴가를 보냈습니다 <br/>,2023년 6월 8일,2023년 6월,가족과 여행함,5.0,4.0,5.0,5.0,5.0,5.0,5.0
893554705,ellie5699,한번만 방문할 사람은 없는 호텔,코로나 이후 첫 여행을 제주로 선택하고 가장 만족스러웠던 부분이 바로 호텔이었습니다. <br/>두돌이 안된 아기와 셋이서 스위트룸에서 호캉스를 보냈는데 무엇보다 아기가 가장 좋아해서 엄빠도 행복했던 여행입니다. <br/>다음부터 제주에선 무조건 그랜드하얏트입니다. ,2023년 6월 6일,2023년 5월,가족과 여행함,5.0,5.0,5.0,5.0,5.0,5.0,5.0
